Country Name,Country Code,arrivals
San Marino,SMR,84000
Somalia,SOM,
Serbia,SRB,1711000
Sub-Saharan Africa (excluding high income),SSA,
South Sudan,SSD,
Sub-Saharan Africa,SSF,
Small states,SST,51165258.71
Sao Tome and Principe,STP,33400
Suriname,SUR,
Slovak Republic,SVK,2256000
Slovenia,SVN,4425000
Sweden,SWE,7440000
Eswatini,SWZ,782000
Sint Maarten (Dutch part),SXM,178000
Seychelles,SYC,362000
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,441000
Chad,TCD,
East Asia & Pacific (IDA & IBRD countries),TEA,181041126.5
Europe & Central Asia (IDA & IBRD countries),TEC,191829289.6
Togo,TGO,573000
Thailand,THA,38178000
Tajikistan,TJK,1035000
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,100122115.3
Timor-Leste,TLS,75000
Middle East & North Africa (IDA & IBRD countries),TMN,57104481.46
Tonga,TON,54000
South Asia (IDA & IBRD),TSA,26701056.84
Sub-Saharan Africa (IDA & IBRD countries),TSS,
Trinidad and Tobago,TTO,375000
Tunisia,TUN,8299000
Turkey,TUR,45768000
Tuvalu,TUV,2700
Tanzania,TZA,1378000
Uganda,UGA,
Ukraine,UKR,14104000
Upper middle income,UMC,386697190.8
Uruguay,URY,3469000
United States,USA,79745920
Uzbekistan,UZB,5346000
St. Vincent and the Grenadines,VCT,80000
"Venezuela, RB",VEN,
British Virgin Islands,VGB,192000
Virgin Islands (U.S.),VIR,381000
Vietnam,VNM,15498000
Vanuatu,VUT,116000
World,WLD,1441953149
Samoa,WSM,164000
Kosovo,XKX,
"Yemen, Rep.",YEM,
South Africa,ZAF,10472000
Zambia,ZMB,1072000
Zimbabwe,ZWE,2580000
